ID;ProvincialeTaakvelden;RegioS;Perioden;Baten_1;Lasten_2;Saldo_3;Baten_4;Lasten_5;Saldo_6
91;Totaal provinciale taakvelden;Gelderland (PV);2018;1194.5;1194.5;0.0;580;580;0
92;Totaal provinciale taakvelden;Gelderland (PV);2019;1444.9;1444.9;0.0;697;697;0
93;Totaal provinciale taakvelden;Gelderland (PV);2020;1464.3;1464.3;0.0;702;702;0
94;Totaal provinciale taakvelden;Gelderland (PV);2021;1673.7;1673.7;0.0;798;798;0
95;Totaal provinciale taakvelden;Gelderland (PV);2022;1246.7;1246.7;0.0;591;591;0
96;Totaal provinciale taakvelden;Gelderland (PV);2023;1221.0;1221.0;0.0;572;572;0
97;Totaal provinciale taakvelden;Gelderland (PV);2024;1206.6;1206.6;0.0;561;561;0
98;Totaal provinciale taakvelden;Gelderland (PV);2025;1299.8;1299.8;0.0;602;602;0
99;Totaal provinciale taakvelden;Utrecht (PV);2017;470.0;470.0;0.0;366;366;0
100;Totaal provinciale taakvelden;Utrecht (PV);2018;478.2;478.2;0.0;369;369;0
101;Totaal provinciale taakvelden;Utrecht (PV);2019;481.4;481.4;0.0;359;359;0
102;Totaal provinciale taakvelden;Utrecht (PV);2020;512.0;512.0;0.0;378;378;0
103;Totaal provinciale taakvelden;Utrecht (PV);2021;566.0;566.0;0.0;416;416;0
104;Totaal provinciale taakvelden;Utrecht (PV);2022;525.4;525.4;0.0;384;384;0
105;Totaal provinciale taakvelden;Utrecht (PV);2023;663.1;663.1;0.0;478;478;0
106;Totaal provinciale taakvelden;Utrecht (PV);2024;573.9;573.9;0.0;410;410;0
107;Totaal provinciale taakvelden;Utrecht (PV);2025;602.5;602.5;0.0;428;428;0
108;Totaal provinciale taakvelden;Noord-Holland (PV);2017;614.7;614.7;0.0;219;219;0
109;Totaal provinciale taakvelden;Noord-Holland (PV);2018;601.6;601.6;0.0;212;212;0
110;Totaal provinciale taakvelden;Noord-Holland (PV);2019;1144.1;1144.1;0.0;401;401;0
111;Totaal provinciale taakvelden;Noord-Holland (PV);2020;835.0;835.0;0.0;290;290;0
112;Totaal provinciale taakvelden;Noord-Holland (PV);2021;772.5;772.5;0.0;267;267;0
113;Totaal provinciale taakvelden;Noord-Holland (PV);2022;823.0;823.0;0.0;283;283;0
114;Totaal provinciale taakvelden;Noord-Holland (PV);2023;812.8;812.8;0.0;275;275;0
115;Totaal provinciale taakvelden;Noord-Holland (PV);2024;903.1;903.1;0.0;303;303;0
116;Totaal provinciale taakvelden;Noord-Holland (PV);2025;888.8;888.8;0.0;297;297;0
117;Totaal provinciale taakvelden;Zuid-Holland (PV);2017;850.9;850.9;0.0;233;233;0
118;Totaal provinciale taakvelden;Zuid-Holland (PV);2018;835.9;835.9;0.0;227;227;0
119;Totaal provinciale taakvelden;Zuid-Holland (PV);2019;1038.3;1038.3;0.0;283;283;0
120;Totaal provinciale taakvelden;Zuid-Holland (PV);2020;912.4;912.4;0.0;246;246;0
121;Totaal provinciale taakvelden;Zuid-Holland (PV);2021;950.2;950.2;0.0;255;255;0
122;Totaal provinciale taakvelden;Zuid-Holland (PV);2022;998.1;998.1;0.0;266;266;0
123;Totaal provinciale taakvelden;Zuid-Holland (PV);2023;1040.5;1040.5;0.0;274;274;0
124;Totaal provinciale taakvelden;Zuid-Holland (PV);2024;1151.4;1151.4;0.0;300;300;0
125;Totaal provinciale taakvelden;Zuid-Holland (PV);2025;1132.2;1132.2;0.0;293;293;0
126;Totaal provinciale taakvelden;Zeeland (PV);2017;246.9;246.9;0.0;647;647;0
127;Totaal provinciale taakvelden;Zeeland (PV);2018;261.0;261.0;0.0;683;683;0
128;Totaal provinciale taakvelden;Zeeland (PV);2019;235.8;235.8;0.0;615;615;0
129;Totaal provinciale taakvelden;Zeeland (PV);2020;248.2;248.2;0.0;647;647;0
130;Totaal provinciale taakvelden;Zeeland (PV);2021;265.2;265.2;0.0;688;688;0
131;Totaal provinciale taakvelden;Zeeland (PV);2022;272.4;272.4;0.0;704;704;0
132;Totaal provinciale taakvelden;Zeeland (PV);2023;306.6;306.6;0.0;784;784;0
133;Totaal provinciale taakvelden;Zeeland (PV);2024;320.4;320.4;0.0;818;818;0
134;Totaal provinciale taakvelden;Zeeland (PV);2025;365.0;365.0;0.0;929;929;0
135;Totaal provinciale taakvelden;Noord-Brabant (PV);2017;1306.8;1306.8;0.0;520;520;0
136;Totaal provinciale taakvelden;Noord-Brabant (PV);2018;1233.3;1233.3;0.0;488;488;0
137;Totaal provinciale taakvelden;Noord-Brabant (PV);2019;1057.5;1057.5;0.0;416;416;0
138;Totaal provinciale taakvelden;Noord-Brabant (PV);2020;1105.6;1105.6;0.0;431;431;0
139;Totaal provinciale taakvelden;Noord-Brabant (PV);2021;1118.3;1118.3;0.0;434;434;0
140;Totaal provinciale taakvelden;Noord-Brabant (PV);2022;1105.9;1105.9;0.0;427;427;0
141;Totaal provinciale taakvelden;Noord-Brabant (PV);2023;1214.9;1214.9;0.0;463;463;0
142;Totaal provinciale taakvelden;Noord-Brabant (PV);2024;1403.2;1403.2;0.0;531;531;0
143;Totaal provinciale taakvelden;Noord-Brabant (PV);2025;1388.5;1388.5;0.0;521;521;0
144;Totaal provinciale taakvelden;Limburg (PV);2017;518.0;518.0;0.0;464;464;0
145;Totaal provinciale taakvelden;Limburg (PV);2018;604.7;604.7;0.0;541;541;0
146;Totaal provinciale taakvelden;Limburg (PV);2019;634.2;634.2;0.0;568;568;0
147;Totaal provinciale taakvelden;Limburg (PV);2020;584.1;584.1;0.0;523;523;0
148;Totaal provinciale taakvelden;Limburg (PV);2021;550.9;550.9;0.0;494;494;0
149;Totaal provinciale taakvelden;Limburg (PV);2022;545.9;545.9;0.0;488;488;0
150;Totaal provinciale taakvelden;Limburg (PV);2023;541.0;541.0;0.0;479;479;0
151;Totaal provinciale taakvelden;Limburg (PV);2024;712.0;712.0;0.0;628;628;0
152;Totaal provinciale taakvelden;Limburg (PV);2025;666.8;666.8;0.0;587;587;0
153;Totaal algemene dekkingsmiddelen;Nederland;2017;6943.5;2980.0;3963.4;406;174;232
154;Totaal algemene dekkingsmiddelen;Nederland;2018;6576.1;2332.5;4243.6;383;136;247
155;Totaal algemene dekkingsmiddelen;Nederland;2019;7762.2;3442.0;4320.1;449;199;250
156;Totaal algemene dekkingsmiddelen;Nederland;2020;7763.1;3334.6;4428.6;446;192;254
157;Totaal algemene dekkingsmiddelen;Nederland;2021;7559.9;2853.7;4706.1;433;163;269
158;Totaal algemene dekkingsmiddelen;Nederland;2022;6964.0;2104.5;4859.5;396;120;276
159;Totaal algemene dekkingsmiddelen;Nederland;2023;7201.1;2309.0;4892.1;404;130;275
160;Totaal algemene dekkingsmiddelen;Nederland;2024;7866.5;2738.0;5128.4;438;153;286
161;Totaal algemene dekkingsmiddelen;Nederland;2025;8064.8;2417.9;5646.9;447;134;313
162;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2017;990.1;231.4;758.7;575;134;441
163;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2018;1071.9;204.9;867.0;622;119;503
164;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2019;1126.2;262.1;864.1;653;152;501
165;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2020;1132.4;260.9;871.4;655;151;504
166;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2021;1053.1;205.1;848.1;608;118;489
167;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2022;1098.9;199.9;898.9;631;115;516
168;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2023;1159.5;240.2;919.3;659;137;523
169;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2024;1187.5;229.5;958.0;672;130;542
170;Totaal algemene dekkingsmiddelen;Noord-Nederland (LD);2025;1337.5;244.2;1093.3;754;138;616
171;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2017;2413.6;1418.6;995.0;670;394;276
172;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2018;1888.0;851.9;1036.1;521;235;286
173;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2019;2304.2;1224.4;1079.8;632;336;296
174;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2020;2690.0;1565.0;1125.0;733;426;306
175;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2021;2476.6;1182.3;1294.3;671;320;351
176;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2022;1887.4;574.3;1313.1;508;154;353
177;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2023;1844.9;603.6;1241.3;490;160;330
178;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2024;2051.8;823.8;1227.9;541;217;324
179;Totaal algemene dekkingsmiddelen;Oost-Nederland (LD);2025;2042.7;757.3;1285.4;536;199;337
180;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2017;1962.0;672.8;1289.2;241;83;159
181;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2018;1932.0;568.5;1363.5;236;69;166
182;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2019;2753.3;1264.9;1488.4;334;153;180
183;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2020;2318.1;788.2;1529.9;278;95;184
184;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2021;2417.2;800.7;1616.5;289;96;193
185;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2022;2429.3;720.4;1708.9;288;86;203
186;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2023;2620.8;847.5;1773.4;307;99;208
187;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2024;2754.9;860.5;1894.4;320;100;220
188;Totaal algemene dekkingsmiddelen;West-Nederland (LD);2025;2756.9;704.2;2052.7;318;81;237
189;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2017;1577.7;657.1;920.5;435;181;254
190;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2018;1684.1;707.2;976.9;462;194;268
191;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2019;1578.5;690.7;887.8;431;189;243
192;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2020;1622.7;720.4;902.3;441;196;245
193;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2021;1613.0;665.7;947.3;437;180;257
194;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2022;1548.4;609.8;938.6;417;164;253
195;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2023;1575.9;617.8;958.1;420;165;255
196;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2024;1872.3;824.2;1048.2;496;218;277
197;Totaal algemene dekkingsmiddelen;Zuid-Nederland (LD);2025;1927.7;712.2;1215.5;507;187;320
198;Totaal algemene dekkingsmiddelen;Groningen (PV);2017;304.2;86.2;217.9;521;148;373
199;Totaal algemene dekkingsmiddelen;Groningen (PV);2018;353.2;54.4;298.8;606;93;512
200;Totaal algemene dekkingsmiddelen;Groningen (PV);2019;367.4;67.0;300.4;629;115;514
201;Totaal algemene dekkingsmiddelen;Groningen (PV);2020;350.2;67.5;282.8;598;115;482
202;Totaal algemene dekkingsmiddelen;Groningen (PV);2021;318.8;58.4;260.5;543;99;444
203;Totaal algemene dekkingsmiddelen;Groningen (PV);2022;356.7;60.2;296.5;604;102;502
204;Totaal algemene dekkingsmiddelen;Groningen (PV);2023;382.4;76.1;306.3;641;128;514
205;Totaal algemene dekkingsmiddelen;Groningen (PV);2024;403.3;65.7;337.6;671;109;561
206;Totaal algemene dekkingsmiddelen;Groningen (PV);2025;449.4;79.8;369.6;744;132;612
207;Totaal algemene dekkingsmiddelen;Fryslân (PV);2017;438.1;89.7;348.4;677;139;539
208;Totaal algemene dekkingsmiddelen;Fryslân (PV);2018;459.1;101.0;358.2;709;156;553
209;Totaal algemene dekkingsmiddelen;Fryslân (PV);2019;447.4;93.3;354.1;691;144;547
210;Totaal algemene dekkingsmiddelen;Fryslân (PV);2020;436.5;74.3;362.1;672;114;557
211;Totaal algemene dekkingsmiddelen;Fryslân (PV);2021;434.6;78.6;356.0;667;121;547
212;Totaal algemene dekkingsmiddelen;Fryslân (PV);2022;439.3;76.0;363.3;672;116;555
213;Totaal algemene dekkingsmiddelen;Fryslân (PV);2023;431.8;75.0;356.8;654;114;541
214;Totaal algemene dekkingsmiddelen;Fryslân (PV);2024;437.6;58.6;379.0;661;89;572
215;Totaal algemene dekkingsmiddelen;Fryslân (PV);2025;482.8;67.8;414.9;727;102;625
216;Totaal algemene dekkingsmiddelen;Drenthe (PV);2017;247.9;55.5;192.4;504;113;391
217;Totaal algemene dekkingsmiddelen;Drenthe (PV);2018;259.6;49.6;210.1;527;101;427
218;Totaal algemene dekkingsmiddelen;Drenthe (PV);2019;311.4;101.8;209.7;633;207;426
219;Totaal algemene dekkingsmiddelen;Drenthe (PV);2020;345.7;119.1;226.5;700;241;459
220;Totaal algemene dekkingsmiddelen;Drenthe (PV);2021;299.7;68.1;231.6;606;138;468
221;Totaal algemene dekkingsmiddelen;Drenthe (PV);2022;302.9;63.8;239.1;609;128;480
222;Totaal algemene dekkingsmiddelen;Drenthe (PV);2023;345.2;89.1;256.2;688;177;510
223;Totaal algemene dekkingsmiddelen;Drenthe (PV);2024;346.5;105.2;241.4;687;209;479
224;Totaal algemene dekkingsmiddelen;Drenthe (PV);2025;405.3;96.5;308.8;800;191;610
225;Totaal algemene dekkingsmiddelen;Overijssel (PV);2017;795.1;448.3;346.8;693;391;302
226;Totaal algemene dekkingsmiddelen;Overijssel (PV);2018;552.2;196.4;355.8;480;171;309
227;Totaal algemene dekkingsmiddelen;Overijssel (PV);2019;656.7;288.7;368.0;568;250;318
228;Totaal algemene dekkingsmiddelen;Overijssel (PV);2020;1004.1;638.6;365.5;864;549;314
229;Totaal algemene dekkingsmiddelen;Overijssel (PV);2021;596.0;177.9;418.1;511;153;358
230;Totaal algemene dekkingsmiddelen;Overijssel (PV);2022;540.2;157.3;382.9;461;134;327
231;Totaal algemene dekkingsmiddelen;Overijssel (PV);2023;511.8;141.4;370.5;432;119;313
232;Totaal algemene dekkingsmiddelen;Overijssel (PV);2024;700.4;366.7;333.8;589;308;281
233;Totaal algemene dekkingsmiddelen;Overijssel (PV);2025;602.5;201.9;400.6;504;169;335
234;Totaal algemene dekkingsmiddelen;Flevoland (PV);2017;183.3;95.0;88.3;449;233;217
235;Totaal algemene dekkingsmiddelen;Flevoland (PV);2018;189.4;64.9;124.5;460;158;303
236;Totaal algemene dekkingsmiddelen;Flevoland (PV);2019;267.5;133.6;133.9;642;321;322
237;Totaal algemene dekkingsmiddelen;Flevoland (PV);2020;268.9;121.0;147.9;636;286;350
238;Totaal algemene dekkingsmiddelen;Flevoland (PV);2021;261.9;122.3;139.6;612;286;326
239;Totaal algemene dekkingsmiddelen;Flevoland (PV);2022;216.2;66.4;149.7;497;153;344
240;Totaal algemene dekkingsmiddelen;Flevoland (PV);2023;253.3;82.2;171.1;570;185;385
241;Totaal algemene dekkingsmiddelen;Flevoland (PV);2024;252.5;78.5;174.0;560;174;386
242;Totaal algemene dekkingsmiddelen;Flevoland (PV);2025;263.3;110.6;152.7;577;243;335
243;Totaal algemene dekkingsmiddelen;Gelderland (PV);2017;1435.2;875.3;559.9;701;427;273
244;Totaal algemene dekkingsmiddelen;Gelderland (PV);2018;1146.4;590.6;555.8;556;287;270
245;Totaal algemene dekkingsmiddelen;Gelderland (PV);2019;1380.0;802.1;577.9;666;387;279
246;Totaal algemene dekkingsmiddelen;Gelderland (PV);2020;1417.0;805.4;611.6;679;386;293
247;Totaal algemene dekkingsmiddelen;Gelderland (PV);2021;1618.6;882.1;736.5;772;421;351
248;Totaal algemene dekkingsmiddelen;Gelderland (PV);2022;1130.9;350.5;780.4;536;166;370
249;Totaal algemene dekkingsmiddelen;Gelderland (PV);2023;1079.8;380.0;699.7;506;178;328
250;Totaal algemene dekkingsmiddelen;Gelderland (PV);2024;1098.8;378.7;720.1;511;176;335
251;Totaal algemene dekkingsmiddelen;Gelderland (PV);2025;1176.9;444.8;732.1;545;206;339
252;Totaal algemene dekkingsmiddelen;Utrecht (PV);2017;409.7;111.5;298.3;319;87;232
253;Totaal algemene dekkingsmiddelen;Utrecht (PV);2018;418.7;65.7;353.0;323;51;272
254;Totaal algemene dekkingsmiddelen;Utrecht (PV);2019;446.7;76.2;370.5;333;57;276
255;Totaal algemene dekkingsmiddelen;Utrecht (PV);2020;451.5;107.8;343.7;333;80;254
256;Totaal algemene dekkingsmiddelen;Utrecht (PV);2021;532.7;155.6;377.1;391;114;277
257;Totaal algemene dekkingsmiddelen;Utrecht (PV);2022;489.5;73.9;415.6;357;54;303
258;Totaal algemene dekkingsmiddelen;Utrecht (PV);2023;603.1;188.0;415.1;435;136;299
259;Totaal algemene dekkingsmiddelen;Utrecht (PV);2024;546.8;138.6;408.2;390;99;292
260;Totaal algemene dekkingsmiddelen;Utrecht (PV);2025;571.3;121.6;449.7;406;86;319
261;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2017;579.8;252.0;327.8;206;90;117
262;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2018;576.4;205.7;370.7;203;73;131
263;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2019;1115.0;689.7;425.2;391;242;149
264;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2020;785.7;347.5;438.2;273;121;152
265;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2021;748.0;291.0;457.0;259;101;158
266;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2022;767.2;246.5;520.7;264;85;179
267;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2023;759.4;259.9;499.5;257;88;169
268;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2024;854.4;295.9;558.5;287;99;187
269;Totaal algemene dekkingsmiddelen;Noord-Holland (PV);2025;844.6;258.0;586.6;282;86;196
270;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2017;771.0;247.0;524.0;211;68;144
271;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2018;742.8;243.5;499.3;202;66;136
272;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2019;979.6;438.6;541.0;267;119;147
273;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2020;858.4;259.1;599.3;231;70;162
274;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2021;902.0;276.8;625.2;242;74;168
275;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2022;932.2;318.1;614.1;248;85;164
276;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2023;977.7;300.1;677.6;257;79;178
277;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2024;1056.4;321.8;734.6;275;84;191
278;Totaal algemene dekkingsmiddelen;Zuid-Holland (PV);2025;1040.9;225.9;815.1;269;58;211
279;Totaal algemene dekkingsmiddelen;Zeeland (PV);2017;201.5;62.4;139.1;528;163;365
