ID;Geslacht;Leeftijd;Perioden;Autochtonen_1;Allochtonen_2;k_1eGeneratie_3;Totaal2eGeneratie_4;k_2eGeneratieMet1AllochtoneOuder_5;k_2eGeneratieMet2AllochtoneOuders_6;NietWesterseAllochtonen_7;WesterseAllochtonen_8
16;Mannen en vrouwen;Totaal over alle leeftijden;2025;13199215;4021963;1978375;2043586;1114685;928901;2329923;1692043
17;Mannen en vrouwen;Totaal over alle leeftijden;2026;13191342;4066256;1998659;2067594;1125496;942099;2361579;1704674
18;Mannen en vrouwen;Totaal over alle leeftijden;2027;13181959;4109921;2018578;2091343;1136213;955126;2392687;1717235
19;Mannen en vrouwen;Totaal over alle leeftijden;2028;13170903;4152984;2038122;2114867;1146863;968007;2423273;1729715
20;Mannen en vrouwen;Totaal over alle leeftijden;2029;13157999;4195492;2057258;2138235;1157468;980774;2453335;1742157
21;Mannen en vrouwen;Totaal over alle leeftijden;2030;13142976;4237508;2076009;2161512;1168063;993456;2482933;1754584
22;Mannen en vrouwen;Totaal over alle leeftijden;2031;13125591;4279083;2094361;2184725;1178644;1006088;2512075;1767009
23;Mannen en vrouwen;Totaal over alle leeftijden;2032;13105644;4320212;2112297;2207914;1189254;1018667;2540792;1779422
24;Mannen en vrouwen;Totaal over alle leeftijden;2033;13082918;4360930;2129825;2231106;1199909;1031193;2569089;1791833
25;Mannen en vrouwen;Totaal over alle leeftijden;2034;13057241;4401207;2146919;2254291;1210608;1043682;2596961;1804247
26;Mannen en vrouwen;Totaal over alle leeftijden;2035;13028476;4441037;2163563;2277470;1221328;1056141;2624387;1816645
27;Mannen en vrouwen;Totaal over alle leeftijden;2036;12996629;4480415;2179757;2300656;1232097;1068564;2651390;1829019
28;Mannen en vrouwen;Totaal over alle leeftijden;2037;12961717;4519323;2195485;2323842;1242902;1080934;2677945;1841388
29;Mannen en vrouwen;Totaal over alle leeftijden;2038;12923887;4557774;2210743;2347030;1253783;1093244;2704048;1853723
30;Mannen en vrouwen;Totaal over alle leeftijden;2039;12883440;4595738;2225517;2370217;1264735;1105488;2729689;1866046
31;Mannen en vrouwen;Totaal over alle leeftijden;2040;12840688;4633199;2239796;2393397;1275717;1117681;2754879;1878327
32;Mannen en vrouwen;Totaal over alle leeftijden;2041;12795997;4670130;2253576;2416559;1286755;1129805;2779570;1890561
33;Mannen en vrouwen;Totaal over alle leeftijden;2042;12749703;4706554;2266848;2439700;1297850;1141859;2803771;1902773
34;Mannen en vrouwen;Totaal over alle leeftijden;2043;12702242;4742439;2279624;2462820;1309003;1153813;2827495;1914951
35;Mannen en vrouwen;Totaal over alle leeftijden;2044;12653997;4777762;2291869;2485885;1320214;1165670;2850683;1927084
36;Mannen en vrouwen;Totaal over alle leeftijden;2045;12605305;4812546;2303633;2508915;1331496;1177422;2873352;1939197
37;Mannen en vrouwen;Totaal over alle leeftijden;2046;12556487;4846748;2314873;2531875;1342823;1189049;2895495;1951253
38;Mannen en vrouwen;Totaal over alle leeftijden;2047;12507886;4880301;2325543;2554751;1354214;1200549;2917093;1963209
39;Mannen en vrouwen;Totaal over alle leeftijden;2048;12459780;4913219;2335671;2577549;1365637;1211910;2938145;1975069
40;Mannen en vrouwen;Totaal over alle leeftijden;2049;12412420;4945472;2345260;2600219;1377071;1223146;2958650;1986825
41;Mannen en vrouwen;Totaal over alle leeftijden;2050;12365950;4977037;2354280;2622755;1388521;1234235;2978575;1998456
42;Mannen en vrouwen;0 jaar;2009;141160;43879;785;43094;20702;22392;30589;13290
43;Mannen en vrouwen;0 jaar;2010;136991;43895;685;43210;21152;22058;30016;13879
44;Mannen en vrouwen;0 jaar;2011;134540;43653;666;42987;21406;21581;29285;14368
45;Mannen en vrouwen;0 jaar;2012;134220;43342;666;42676;21569;21107;28566;14776
46;Mannen en vrouwen;0 jaar;2013;134451;42952;672;42280;21669;20611;27839;15113
47;Mannen en vrouwen;0 jaar;2014;135206;42595;672;41923;21755;20168;27212;15383
48;Mannen en vrouwen;0 jaar;2015;135525;42250;672;41578;21821;19757;26659;15590
49;Mannen en vrouwen;0 jaar;2016;136423;41952;677;41275;21882;19393;26184;15768
50;Mannen en vrouwen;0 jaar;2017;137579;41714;684;41029;21952;19078;25789;15925
51;Mannen en vrouwen;0 jaar;2018;138761;41545;692;40852;22035;18818;25470;16074
52;Mannen en vrouwen;0 jaar;2019;140014;41423;699;40724;22126;18598;25215;16208
53;Mannen en vrouwen;0 jaar;2020;141232;41339;704;40635;22228;18407;24998;16341
54;Mannen en vrouwen;0 jaar;2021;142506;41279;707;40572;22334;18238;24815;16465
55;Mannen en vrouwen;0 jaar;2022;143664;41246;709;40537;22445;18092;24657;16589
56;Mannen en vrouwen;0 jaar;2023;144682;41243;710;40533;22561;17972;24530;16713
57;Mannen en vrouwen;0 jaar;2024;145527;41271;714;40556;22684;17872;24431;16839
58;Mannen en vrouwen;0 jaar;2025;146159;41322;715;40607;22809;17797;24358;16964
59;Mannen en vrouwen;0 jaar;2026;146681;41405;718;40688;22949;17739;24310;17095
60;Mannen en vrouwen;0 jaar;2027;147061;41508;719;40789;23086;17703;24282;17225
61;Mannen en vrouwen;0 jaar;2028;147331;41633;722;40912;23227;17685;24271;17363
62;Mannen en vrouwen;0 jaar;2029;147498;41776;724;41053;23370;17683;24279;17497
63;Mannen en vrouwen;0 jaar;2030;147504;41931;726;41205;23509;17696;24295;17635
64;Mannen en vrouwen;0 jaar;2031;147339;42102;727;41375;23648;17727;24324;17778
65;Mannen en vrouwen;0 jaar;2032;146991;42284;729;41555;23788;17767;24368;17916
66;Mannen en vrouwen;0 jaar;2033;146421;42478;733;41745;23931;17815;24421;18057
67;Mannen en vrouwen;0 jaar;2034;145653;42682;733;41949;24078;17871;24480;18201
68;Mannen en vrouwen;0 jaar;2035;144682;42889;735;42154;24221;17933;24552;18337
69;Mannen en vrouwen;0 jaar;2036;143598;43101;738;42363;24369;17994;24625;18476
70;Mannen en vrouwen;0 jaar;2037;142413;43316;740;42576;24513;18063;24708;18608
71;Mannen en vrouwen;0 jaar;2038;141238;43526;740;42786;24658;18128;24790;18736
72;Mannen en vrouwen;0 jaar;2039;140139;43735;744;42991;24796;18195;24876;18860
73;Mannen en vrouwen;0 jaar;2040;139144;43937;745;43192;24927;18265;24964;18973
74;Mannen en vrouwen;0 jaar;2041;138271;44130;747;43383;25054;18329;25047;19083
75;Mannen en vrouwen;0 jaar;2042;137545;44321;749;43572;25176;18396;25132;19189
76;Mannen en vrouwen;0 jaar;2043;136977;44492;751;43741;25282;18459;25210;19282
77;Mannen en vrouwen;0 jaar;2044;136585;44663;752;43911;25392;18519;25289;19374
78;Mannen en vrouwen;0 jaar;2045;136356;44825;756;44069;25495;18574;25365;19460
79;Mannen en vrouwen;0 jaar;2046;136280;44975;756;44219;25590;18629;25435;19541
80;Mannen en vrouwen;0 jaar;2047;136349;45112;758;44354;25675;18679;25500;19612
81;Mannen en vrouwen;0 jaar;2048;136554;45240;759;44481;25754;18727;25561;19679
82;Mannen en vrouwen;0 jaar;2049;136865;45354;761;44593;25825;18767;25616;19738
83;Mannen en vrouwen;0 jaar;2050;137254;45451;761;44690;25889;18801;25662;19789
84;Mannen en vrouwen;1 jaar;2009;137538;43678;2162;41516;19754;21762;31047;12631
85;Mannen en vrouwen;1 jaar;2010;141480;43896;1756;42140;20198;21942;30438;13457
86;Mannen en vrouwen;1 jaar;2011;137368;43921;1624;42297;20653;21644;29898;14023
87;Mannen en vrouwen;1 jaar;2012;134940;43737;1603;42134;20922;21212;29244;14493
88;Mannen en vrouwen;1 jaar;2013;134636;43440;1607;41833;21075;20758;28556;14885
89;Mannen en vrouwen;1 jaar;2014;134856;43091;1614;41478;21189;20289;27881;15211
90;Mannen en vrouwen;1 jaar;2015;135593;42770;1619;41151;21287;19864;27296;15474
91;Mannen en vrouwen;1 jaar;2016;135892;42461;1631;40830;21364;19466;26777;15684
92;Mannen en vrouwen;1 jaar;2017;136761;42194;1650;40544;21430;19114;26329;15866
93;Mannen en vrouwen;1 jaar;2018;137882;41979;1671;40309;21503;18806;25951;16028
94;Mannen en vrouwen;1 jaar;2019;139039;41828;1690;40138;21586;18552;25645;16183
95;Mannen en vrouwen;1 jaar;2020;140269;41721;1706;40016;21680;18336;25401;16321
96;Mannen en vrouwen;1 jaar;2021;141469;41646;1713;39933;21783;18150;25191;16456
97;Mannen en vrouwen;1 jaar;2022;142726;41599;1720;39879;21894;17985;25014;16584
98;Mannen en vrouwen;1 jaar;2023;143871;41574;1722;39851;22008;17843;24861;16712
99;Mannen en vrouwen;1 jaar;2024;144876;41576;1726;39850;22126;17724;24738;16838
100;Mannen en vrouwen;1 jaar;2025;145712;41608;1731;39877;22249;17627;24640;16968
101;Mannen en vrouwen;1 jaar;2026;146334;41666;1733;39933;22374;17558;24572;17094
102;Mannen en vrouwen;1 jaar;2027;146848;41757;1739;40019;22518;17501;24529;17229
103;Mannen en vrouwen;1 jaar;2028;147222;41864;1740;40124;22655;17469;24505;17360
104;Mannen en vrouwen;1 jaar;2029;147484;41997;1745;40252;22799;17453;24498;17498
105;Mannen en vrouwen;1 jaar;2030;147644;42146;1749;40396;22943;17454;24510;17636
106;Mannen en vrouwen;1 jaar;2031;147648;42310;1753;40557;23086;17471;24535;17775
107;Mannen en vrouwen;1 jaar;2032;147478;42487;1755;40731;23226;17505;24567;17919
108;Mannen en vrouwen;1 jaar;2033;147129;42677;1759;40918;23370;17548;24618;18059
109;Mannen en vrouwen;1 jaar;2034;146559;42876;1764;41112;23514;17598;24675;18201
110;Mannen en vrouwen;1 jaar;2035;145794;43088;1767;41321;23663;17658;24740;18348
111;Mannen en vrouwen;1 jaar;2036;144825;43298;1770;41528;23805;17722;24815;18484
112;Mannen en vrouwen;1 jaar;2037;143746;43515;1775;41740;23956;17784;24891;18623
113;Mannen en vrouwen;1 jaar;2038;142566;43737;1779;41958;24103;17855;24979;18758
114;Mannen en vrouwen;1 jaar;2039;141397;43951;1780;42171;24250;17921;25063;18888
115;Mannen en vrouwen;1 jaar;2040;140305;44163;1786;42377;24387;17989;25152;19011
116;Mannen en vrouwen;1 jaar;2041;139316;44367;1788;42579;24519;18060;25243;19124
117;Mannen en vrouwen;1 jaar;2042;138446;44565;1791;42774;24647;18127;25329;19236
118;Mannen en vrouwen;1 jaar;2043;137723;44759;1795;42964;24770;18194;25417;19342
119;Mannen en vrouwen;1 jaar;2044;137158;44935;1798;43137;24879;18258;25500;19436
120;Mannen en vrouwen;1 jaar;2045;136768;45109;1801;43309;24989;18320;25580;19530
121;Mannen en vrouwen;1 jaar;2046;136538;45273;1805;43468;25094;18374;25657;19616
122;Mannen en vrouwen;1 jaar;2047;136463;45422;1807;43615;25186;18429;25728;19694
123;Mannen en vrouwen;1 jaar;2048;136531;45559;1809;43751;25272;18479;25794;19765
124;Mannen en vrouwen;1 jaar;2049;136733;45694;1811;43883;25354;18529;25861;19832
125;Mannen en vrouwen;1 jaar;2050;137043;45807;1813;43994;25425;18569;25916;19891
126;Mannen en vrouwen;2 jaar;2009;140219;44791;3428;41363;19205;22158;31903;12888
127;Mannen en vrouwen;2 jaar;2010;137638;43787;3160;40627;19291;21335;30953;12834
128;Mannen en vrouwen;2 jaar;2011;141591;44009;2741;41267;19735;21532;30369;13640
129;Mannen en vrouwen;2 jaar;2012;137523;44082;2616;41466;20194;21272;29896;14185
130;Mannen en vrouwen;2 jaar;2013;135130;43909;2602;41307;20451;20856;29273;14637
131;Mannen en vrouwen;2 jaar;2014;134821;43652;2608;41044;20615;20429;28637;15015
132;Mannen en vrouwen;2 jaar;2015;135030;43342;2622;40720;20739;19980;28011;15331
133;Mannen en vrouwen;2 jaar;2016;135747;43055;2641;40414;20842;19572;27460;15595
134;Mannen en vrouwen;2 jaar;2017;136021;42778;2672;40106;20924;19182;26968;15810
135;Mannen en vrouwen;2 jaar;2018;136856;42540;2707;39833;20997;18836;26544;15996
136;Mannen en vrouwen;2 jaar;2019;137949;42347;2741;39607;21071;18535;26183;16164
137;Mannen en vrouwen;2 jaar;2020;139081;42211;2769;39442;21157;18285;25887;16324
138;Mannen en vrouwen;2 jaar;2021;140292;42114;2788;39325;21252;18074;25651;16463
139;Mannen en vrouwen;2 jaar;2022;141475;42050;2800;39251;21359;17891;25448;16603
140;Mannen en vrouwen;2 jaar;2023;142718;42008;2807;39201;21469;17732;25274;16735
141;Mannen en vrouwen;2 jaar;2024;143846;41988;2812;39176;21581;17595;25124;16865
142;Mannen en vrouwen;2 jaar;2025;144837;41999;2818;39181;21703;17477;25004;16995
143;Mannen en vrouwen;2 jaar;2026;145661;42038;2824;39213;21830;17383;24911;17127
144;Mannen en vrouwen;2 jaar;2027;146272;42104;2830;39274;21956;17318;24848;17256
145;Mannen en vrouwen;2 jaar;2028;146777;42199;2836;39362;22099;17264;24808;17391
146;Mannen en vrouwen;2 jaar;2029;147141;42313;2840;39473;22238;17234;24788;17525
147;Mannen en vrouwen;2 jaar;2030;147397;42449;2848;39602;22382;17220;24784;17665
148;Mannen en vrouwen;2 jaar;2031;147546;42606;2853;39753;22529;17224;24801;17805
149;Mannen en vrouwen;2 jaar;2032;147544;42777;2858;39919;22674;17245;24831;17946
150;Mannen en vrouwen;2 jaar;2033;147369;42961;2864;40097;22816;17281;24869;18093
151;Mannen en vrouwen;2 jaar;2034;147016;43156;2868;40288;22963;17325;24923;18233
152;Mannen en vrouwen;2 jaar;2035;146443;43361;2875;40486;23106;17379;24984;18377
153;Mannen en vrouwen;2 jaar;2036;145678;43579;2880;40699;23260;17439;25054;18525
154;Mannen en vrouwen;2 jaar;2037;144710;43793;2885;40909;23400;17508;25131;18663
155;Mannen en vrouwen;2 jaar;2038;143634;44014;2890;41124;23553;17571;25210;18804
156;Mannen en vrouwen;2 jaar;2039;142457;44243;2896;41347;23704;17643;25304;18939
157;Mannen en vrouwen;2 jaar;2040;141292;44460;2900;41560;23849;17711;25391;19070
158;Mannen en vrouwen;2 jaar;2041;140202;44673;2907;41767;23987;17780;25480;19193
159;Mannen en vrouwen;2 jaar;2042;139216;44881;2912;41969;24118;17851;25573;19308
160;Mannen en vrouwen;2 jaar;2043;138348;45081;2915;42166;24247;17919;25661;19421
161;Mannen en vrouwen;2 jaar;2044;137626;45276;2919;42357;24373;17984;25750;19526
162;Mannen en vrouwen;2 jaar;2045;137062;45455;2925;42530;24481;18049;25834;19621
163;Mannen en vrouwen;2 jaar;2046;136671;45631;2928;42704;24593;18111;25916;19715
164;Mannen en vrouwen;2 jaar;2047;136440;45796;2932;42864;24698;18166;25997;19799
165;Mannen en vrouwen;2 jaar;2048;136361;45947;2935;43012;24791;18222;26070;19877
166;Mannen en vrouwen;2 jaar;2049;136426;46087;2937;43150;24877;18273;26140;19947
167;Mannen en vrouwen;2 jaar;2050;136625;46220;2938;43282;24960;18321;26206;20014
168;Mannen en vrouwen;3 jaar;2009;142248;45119;3804;41315;18996;22319;32294;12825
169;Mannen en vrouwen;3 jaar;2010;140321;44733;4222;40512;18764;21748;31761;12972
170;Mannen en vrouwen;3 jaar;2011;137757;43781;3935;39846;18875;20972;30864;12917
171;Mannen en vrouwen;3 jaar;2012;141711;44067;3556;40511;19317;21194;30355;13712
172;Mannen en vrouwen;3 jaar;2013;137697;44146;3446;40700;19758;20942;29903;14243
173;Mannen en vrouwen;3 jaar;2014;135316;44016;3441;40575;20023;20551;29331;14685
174;Mannen en vrouwen;3 jaar;2015;135001;43794;3454;40340;20198;20141;28740;15054
175;Mannen en vrouwen;3 jaar;2016;135192;43514;3481;40033;20325;19708;28145;15369
176;Mannen en vrouwen;3 jaar;2017;135883;43257;3517;39741;20431;19309;27621;15637
177;Mannen en vrouwen;3 jaar;2018;136130;43004;3561;39443;20516;18927;27148;15856
178;Mannen en vrouwen;3 jaar;2019;136936;42787;3607;39180;20593;18586;26740;16047
179;Mannen en vrouwen;3 jaar;2020;138004;42611;3650;38962;20670;18292;26393;16219
180;Mannen en vrouwen;3 jaar;2021;139117;42486;3682;38803;20756;18047;26104;16382
181;Mannen en vrouwen;3 jaar;2022;140310;42396;3704;38692;20853;17839;25872;16524
182;Mannen en vrouwen;3 jaar;2023;141477;42342;3719;38623;20962;17660;25674;16668
183;Mannen en vrouwen;3 jaar;2024;142705;42303;3728;38575;21070;17504;25503;16800
184;Mannen en vrouwen;3 jaar;2025;143819;42291;3738;38553;21181;17372;25358;16933
185;Mannen en vrouwen;3 jaar;2026;144797;42309;3747;38562;21306;17257;25243;17066
186;Mannen en vrouwen;3 jaar;2027;145608;42356;3756;38601;21435;17166;25155;17201
187;Mannen en vrouwen;3 jaar;2028;146208;42430;3765;38665;21563;17103;25097;17333
188;Mannen en vrouwen;3 jaar;2029;146702;42527;3773;38753;21702;17051;25058;17469
189;Mannen en vrouwen;3 jaar;2030;147057;42649;3781;38868;21842;17027;25042;17607
190;Mannen en vrouwen;3 jaar;2031;147303;42796;3792;39005;21990;17015;25047;17749
191;Mannen en vrouwen;3 jaar;2032;147443;42961;3800;39161;22138;17023;25070;17891
192;Mannen en vrouwen;3 jaar;2033;147434;43140;3807;39333;22288;17045;25106;18035
193;Mannen en vrouwen;3 jaar;2034;147253;43331;3816;39515;22431;17084;25148;18183
194;Mannen en vrouwen;3 jaar;2035;146895;43534;3824;39710;22581;17129;25209;18325
195;Mannen en vrouwen;3 jaar;2036;146320;43743;3832;39911;22725;17185;25274;18469
196;Mannen en vrouwen;3 jaar;2037;145556;43965;3840;40125;22879;17247;25348;18617
197;Mannen en vrouwen;3 jaar;2038;144586;44185;3848;40337;23020;17317;25428;18756
198;Mannen en vrouwen;3 jaar;2039;143514;44409;3855;40554;23173;17381;25511;18898
199;Mannen en vrouwen;3 jaar;2040;142339;44643;3865;40778;23324;17454;25609;19035
200;Mannen en vrouwen;3 jaar;2041;141178;44864;3870;40994;23470;17524;25698;19166
201;Mannen en vrouwen;3 jaar;2042;140089;45080;3877;41203;23607;17596;25790;19290
202;Mannen en vrouwen;3 jaar;2043;139107;45291;3886;41405;23738;17667;25884;19408
203;Mannen en vrouwen;3 jaar;2044;138241;45494;3891;41603;23869;17734;25975;19519
204;Mannen en vrouwen;3 jaar;2045;137520;45694;3898;41796;23997;17800;26068;19627
205;Mannen en vrouwen;3 jaar;2046;136954;45875;3905;41970;24104;17866;26155;19720
206;Mannen en vrouwen;3 jaar;2047;136564;46054;3908;42145;24221;17925;26240;19814
207;Mannen en vrouwen;3 jaar;2048;136329;46220;3914;42306;24325;17980;26323;19896
208;Mannen en vrouwen;3 jaar;2049;136249;46367;3917;42451;24413;18038;26394;19974
209;Mannen en vrouwen;3 jaar;2050;136311;46507;3920;42587;24499;18088;26465;20042
210;Mannen en vrouwen;4 jaar;2009;147759;45417;3718;41699;18969;22730;32397;13020
211;Mannen en vrouwen;4 jaar;2010;142340;44921;4381;40540;18601;21939;32049;12873
212;Mannen en vrouwen;4 jaar;2011;140418;44553;4737;39816;18402;21414;31562;12991
213;Mannen en vrouwen;4 jaar;2012;137860;43706;4476;39230;18541;20688;30760;12947
214;Mannen en vrouwen;4 jaar;2013;141827;44003;4134;39868;18962;20907;30271;13732
215;Mannen en vrouwen;4 jaar;2014;137844;44121;4039;40082;19409;20672;29863;14257
216;Mannen en vrouwen;4 jaar;2015;135470;44018;4041;39977;19678;20299;29328;14690
217;Mannen en vrouwen;4 jaar;2016;135144;43829;4066;39763;19860;19903;28768;15061
218;Mannen en vrouwen;4 jaar;2017;135314;43570;4104;39466;19987;19480;28193;15378
219;Mannen en vrouwen;4 jaar;2018;135977;43334;4150;39184;20094;19091;27686;15648
220;Mannen en vrouwen;4 jaar;2019;136202;43098;4203;38895;20182;18713;27227;15871
221;Mannen en vrouwen;4 jaar;2020;136987;42894;4256;38638;20257;18381;26829;16065
222;Mannen en vrouwen;4 jaar;2021;138035;42728;4302;38426;20335;18091;26490;16238
223;Mannen en vrouwen;4 jaar;2022;139133;42610;4337;38274;20424;17849;26206;16405
224;Mannen en vrouwen;4 jaar;2023;140312;42529;4362;38167;20520;17647;25979;16551
225;Mannen en vrouwen;4 jaar;2024;141465;42480;4379;38101;20630;17471;25786;16695
226;Mannen en vrouwen;4 jaar;2025;142680;42451;4394;38057;20740;17317;25621;16830
227;Mannen en vrouwen;4 jaar;2026;143781;42445;4406;38039;20848;17190;25480;16965
228;Mannen en vrouwen;4 jaar;2027;144746;42472;4419;38053;20978;17075;25371;17101
229;Mannen en vrouwen;4 jaar;2028;145547;42526;4431;38095;21108;16987;25287;17240
230;Mannen en vrouwen;4 jaar;2029;146136;42604;4443;38161;21233;16928;25231;17373
231;Mannen en vrouwen;4 jaar;2030;146621;42711;4455;38256;21377;16879;25201;17510
232;Mannen en vrouwen;4 jaar;2031;146967;42840;4467;38373;21516;16857;25190;17650
233;Mannen en vrouwen;4 jaar;2032;147204;42998;4481;38517;21668;16849;25203;17795
234;Mannen en vrouwen;4 jaar;2033;147337;43168;4491;38677;21816;16861;25230;17938
235;Mannen en vrouwen;4 jaar;2034;147323;43357;4503;38853;21970;16884;25272;18084
236;Mannen en vrouwen;4 jaar;2035;147137;43552;4514;39038;22112;16926;25319;18233
237;Mannen en vrouwen;4 jaar;2036;146777;43759;4525;39234;22262;16973;25383;18377
238;Mannen en vrouwen;4 jaar;2037;146199;43978;4537;39442;22410;17031;25456;18522
239;Mannen en vrouwen;4 jaar;2038;145436;44205;4547;39658;22565;17093;25535;18670
240;Mannen en vrouwen;4 jaar;2039;144468;44429;4558;39871;22707;17164;25618;18811
241;Mannen en vrouwen;4 jaar;2040;143399;44657;4568;40088;22858;17231;25704;18953
242;Mannen en vrouwen;4 jaar;2041;142227;44896;4580;40315;23009;17306;25806;19090
243;Mannen en vrouwen;4 jaar;2042;141070;45117;4587;40530;23154;17377;25896;19222
244;Mannen en vrouwen;4 jaar;2043;139985;45340;4597;40743;23295;17448;25994;19346
245;Mannen en vrouwen;4 jaar;2044;139005;45553;4609;40945;23426;17519;26089;19465
246;Mannen en vrouwen;4 jaar;2045;138142;45761;4615;41146;23559;17587;26185;19576
247;Mannen en vrouwen;4 jaar;2046;137421;45966;4625;41340;23688;17652;26281;19685
248;Mannen en vrouwen;4 jaar;2047;136858;46147;4634;41513;23793;17720;26369;19778
249;Mannen en vrouwen;4 jaar;2048;136466;46325;4639;41686;23906;17780;26455;19870
250;Mannen en vrouwen;4 jaar;2049;136232;46491;4646;41845;24010;17835;26540;19951
251;Mannen en vrouwen;4 jaar;2050;136150;46640;4650;41990;24097;17892;26612;20027
252;Mannen en vrouwen;5 jaar;2009;154365;45449;4059;41390;18606;22785;32509;12940
253;Mannen en vrouwen;5 jaar;2010;147780;45226;4264;40962;18605;22358;32168;13058
254;Mannen en vrouwen;5 jaar;2011;142372;44753;4848;39905;18276;21629;31867;12886
255;Mannen en vrouwen;5 jaar;2012;140452;44442;5181;39261;18110;21151;31456;12986
256;Mannen en vrouwen;5 jaar;2013;137913;43634;4947;38688;18244;20444;30686;12948
257;Mannen en vrouwen;5 jaar;2014;141874;43976;4640;39336;18669;20667;30241;13735
258;Mannen en vrouwen;5 jaar;2015;137920;44122;4562;39561;19115;20446;29867;14256
259;Mannen en vrouwen;5 jaar;2016;135552;44044;4575;39470;19385;20085;29358;14687
260;Mannen en vrouwen;5 jaar;2017;135211;43883;4614;39269;19572;19697;28822;15060
261;Mannen en vrouwen;5 jaar;2018;135359;43642;4663;38980;19698;19282;28262;15380
262;Mannen en vrouwen;5 jaar;2019;135999;43421;4717;38704;19806;18898;27768;15653
263;Mannen en vrouwen;5 jaar;2020;136207;43198;4776;38422;19894;18528;27320;15879
264;Mannen en vrouwen;5 jaar;2021;136977;43007;4833;38174;19972;18202;26933;16074
265;Mannen en vrouwen;5 jaar;2022;138010;42850;4881;37969;20051;17918;26601;16250
266;Mannen en vrouwen;5 jaar;2023;139095;42741;4919;37822;20142;17680;26322;16419
267;Mannen en vrouwen;5 jaar;2024;140262;42660;4945;37715;20234;17481;26095;16565
268;Mannen en vrouwen;5 jaar;2025;141404;42620;4967;37653;20345;17308;25907;16713
269;Mannen en vrouwen;5 jaar;2026;142608;42599;4985;37614;20458;17156;25749;16850
270;Mannen en vrouwen;5 jaar;2027;143697;42599;5001;37598;20565;17032;25611;16988
271;Mannen en vrouwen;5 jaar;2028;144651;42634;5018;37616;20695;16921;25508;17126
272;Mannen en vrouwen;5 jaar;2029;145442;42694;5032;37661;20827;16834;25428;17266
273;Mannen en vrouwen;5 jaar;2030;146023;42778;5048;37730;20953;16778;25377;17401
274;Mannen en vrouwen;5 jaar;2031;146500;42894;5064;37830;21096;16734;25353;17541
275;Mannen en vrouwen;5 jaar;2032;146838;43031;5079;37953;21236;16717;25347;17684
276;Mannen en vrouwen;5 jaar;2033;147070;43195;5096;38099;21389;16711;25366;17829
277;Mannen en vrouwen;5 jaar;2034;147197;43373;5109;38264;21538;16726;25399;17974
278;Mannen en vrouwen;5 jaar;2035;147181;43570;5124;38445;21694;16751;25448;18122
279;Mannen en vrouwen;5 jaar;2036;146990;43770;5138;38632;21837;16795;25498;18271
280;Mannen en vrouwen;5 jaar;2037;146628;43986;5152;38833;21991;16842;25568;18417
281;Mannen en vrouwen;5 jaar;2038;146049;44208;5167;39041;22139;16901;25644;18563
282;Mannen en vrouwen;5 jaar;2039;145290;44438;5179;39259;22294;16965;25727;18711
283;Mannen en vrouwen;5 jaar;2040;144324;44666;5193;39473;22437;17036;25813;18853
284;Mannen en vrouwen;5 jaar;2041;143258;44899;5206;39693;22588;17105;25903;18996
285;Mannen en vrouwen;5 jaar;2042;142091;45141;5220;39921;22741;17180;26008;19133
